,Gender,Male,Animal,Friends,Family,Dead&Imaginary,Aggression/Friendliness,A/CIndex,F/CIndex,S/CIndex,NegativeEmotions
18148,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.03125,0
12363,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.125,1
11890,1.0,0.5,0.0,0.142857143,0.0,0.0,0.5,0.0142857143,0.025974026,0.071428571375,1
1303,1.0,0.0,0.0,0.0,0.0,0.0,0.333333333,0.1,0.2727272727272727,0.125,1
19934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0
8066,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0.045454545454545456,0.0,1
20335,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.0,0
1373,1.0,0.333333333,0.125,0.142857143,0.428571429,0.0,0.0,0.0,0.03409090909090909,0.03125,1
8574,1.0,0.333333333,0.0,0.333333333,0.111111111,0.0,0.0,0.011111111100000001,0.030303030272727273,0.013888888875,1
12577,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.025,0.045454545454545456,0.0,1
7946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606063636364,0.083333333375,1
1135,1.0,0.666666667,0.0,0.166666667,0.5,0.0,0.0,0.0,0.0,0.0,1
5048,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
426,1.0,0.5,0.0,0.285714286,0.0,0.0,1.0,0.042857142900000006,0.0,0.0,1
9926,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.09090909090909091,0.0,1
6290,1.0,0.5,0.0,0.125,0.0625,0.0,0.0,0.0,0.017045454545454544,0.0,1
17597,1.0,0.333333333,0.166666667,0.2,0.2,0.0,1.0,0.033333333300000004,0.0,0.0,1
339,1.0,1.0,0.111111111,0.25,0.125,0.0,0.333333333,0.0555555556,0.08080808081818182,0.013888888875,1
7085,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
14739,1.0,0.5,0.0,0.2,0.0,0.0,0.0,0.020000000000000004,0.018181818181818184,0.0,0
12572,1.0,0.333333333,0.0,0.0,0.0,0.0,0.333333333,0.0125,0.06818181818181818,0.03125,1
7811,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03636363636363637,0.0,1
3314,1.0,0.666666667,0.0,0.0,0.333333333,0.0,0.0,0.0,0.030303030272727273,0.0,1
8203,1.0,0.8,0.066666667,0.142857143,0.142857143,0.0,0.0,0.0,0.0,0.008333333375,1
12634,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,1
10347,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1
5306,1.0,0.5,0.0,0.090909091,0.181818182,0.0,1.0,0.1,0.008264462818181818,0.02272727275,0
17910,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3649,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,1
10841,1.0,0.583333333,0.02173913,0.088888889,0.066666667,0.0,0.5,0.008695652199999999,0.005928853727272728,0.01086956525,1
2973,1.0,0.333333333,0.083333333,0.090909091,0.181818182,0.0,0.0,0.0,0.0,0.0,1
16101,1.0,0.25,0.125,0.0,0.285714286,0.0,0.666666667,0.08750000000000001,0.022727272727272728,0.015625,1
2959,1.0,0.666666667,0.142857143,0.111111111,0.111111111,0.0,0.333333333,0.0285714286,0.07792207790909092,0.047619047625,1
12715,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363637,0.0,1
129,1.0,0.333333333,0.0,0.090909091,0.0,0.0,0.666666667,0.0363636364,0.024793388454545453,0.0,1
10714,1.0,0.0,0.0,0.0,0.0,0.0,0.833333333,0.6000000000000001,0.09090909090909091,0.0,1
401,1.0,0.0,0.0,0.5,0.0,0.0,0.875,0.55,0.045454545454545456,0.0625,1
17125,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17712,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
16742,1.0,0.222222222,0.0,0.090909091,0.090909091,0.0,0.428571429,0.0727272727,0.07851239672727273,0.08522727275,0
5412,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
7681,1.0,0.666666667,0.0,0.2,0.2,0.0,0.0,0.0,0.018181818181818184,0.0,1
8054,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6224,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0
19193,1.0,0.2,0.125,0.0,0.142857143,0.0,0.5,0.018750000000000003,0.005681818181818182,0.0,0
18124,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
20246,1.0,0.0,0.0,0.0,0.166666667,0.0,0.75,0.0666666667,0.015151515181818181,0.0,0
13548,1.0,0.333333333,0.0,0.166666667,0.25,0.0,1.0,0.033333333300000004,0.0,0.0,0
14404,1.0,1.0,0.0,0.111111111,0.0,0.0,0.0,0.0,0.07070707072727274,0.02777777775,0
12868,1.0,0.5,0.0,0.333333333,0.666666667,0.0,1.0,0.033333333300000004,0.0,0.0,1
20088,1.0,0.0,0.0,0.0,0.4,0.0,1.0,0.04000000000000001,0.0,0.0,0
3269,1.0,0.857142857,0.136363636,0.105263158,0.105263158,0.0,0.0,0.0045454545,0.012396694181818184,0.0,1
14784,1.0,0.75,0.0,0.0,0.142857143,0.0,1.0,0.0714285714,0.0,0.08928571425,0
5784,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.09090909090909091,0.0,1
6682,1.0,1.0,0.2,0.25,0.25,0.0,0.888888889,0.30000000000000004,0.018181818181818184,0.025,1
17045,1.0,1.0,0.0,0.333333333,0.0,0.0,1.0,0.0666666667,0.030303030272727273,0.0,0
20394,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13005,1.0,0.333333333,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0
17949,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.022727272727272728,0.0,1
17947,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.033333333300000004,0.06060606063636364,0.0,1
12140,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,1
14462,1.0,0.666666667,0.083333333,0.0,0.090909091,0.0,0.5,0.0166666667,0.030303030272727273,0.03125,0
608,1.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.4,0.18181818181818182,0.0,1
9577,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.033333333300000004,0.06060606063636364,0.0,1
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7731,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.025,0.022727272727272728,0.03125,1
7717,1.0,1.0,0.0,0.5,0.0,0.0,0.333333333,0.05,0.09090909090909091,0.1875,1
5940,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033333333300000004,0.0,0.0,1
14984,1.0,1.0,0.2,0.25,0.0,0.0,0.0,0.020000000000000004,0.0,0.0,0
2487,1.0,0.0,0.0,0.0,0.25,0.0,0.75,0.125,0.022727272727272728,0.0,1
16914,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.15000000000000002,0.0,0.0,0
6508,1.0,0.75,0.0,0.125,0.125,0.0,0.857142857,0.07500000000000001,0.011363636363636364,0.0,1
9962,1.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0166666667,0.0,0.020833333375,1
18004,1.0,0.6,0.0,0.142857143,0.285714286,0.0,1.0,0.0142857143,0.0,0.0,0
4505,1.0,0.5,0.052631579,0.055555556,0.277777778,0.0,1.0,0.0105263158,0.0,0.0,1
9213,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.06060606063636364,0.0,1
16046,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4387,1.0,1.0,0.0,0.333333333,0.333333333,0.0,0.0,0.0,0.030303030272727273,0.020833333375,1
20200,1.0,0.25,0.0,0.2,0.2,0.0,1.0,0.08000000000000002,0.018181818181818184,0.075,0
4591,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
16162,1.0,0.454545455,0.086956522,0.0,0.238095238,0.0,0.0,0.0043478260999999995,0.0,0.01086956525,1
19023,1.0,1.0,0.1,0.333333333,0.222222222,0.0,1.0,0.010000000000000002,0.0,0.0125,0
13389,1.0,0.8,0.0,0.142857143,0.214285714,0.0,0.0,0.0,0.012987013,0.03571428575,0
6619,1.0,0.333333333,0.08,0.043478261,0.304347826,0.0,0.5,0.008,0.018181818181818184,0.015,1
3800,1.0,0.6,0.0,0.166666667,0.166666667,0.0,0.5,0.0166666667,0.007575757545454545,0.0,1
11072,1.0,1.0,0.25,0.166666667,0.166666667,0.0,0.0,0.0,0.045454545454545456,0.0,1
9857,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1
14522,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10371,1.0,0.75,0.0,0.0,0.142857143,0.0,1.0,0.042857142900000006,0.0,0.0,1
15603,1.0,0.75,0.0,0.25,0.083333333,0.0,0.333333333,0.033333333300000004,0.07575757572727274,0.010416666625,1
14100,1.0,0.571428571,0.0625,0.2,0.2,0.0,0.75,0.07500000000000001,0.011363636363636364,0.046875,0
1983,1.0,0.666666667,0.1,0.111111111,0.111111111,0.0,0.428571429,0.08000000000000002,0.08181818181818182,0.0625,1
16895,1.0,1.0,0.0,0.0,0.4,0.0,1.0,0.08000000000000002,0.0,0.0,1
15664,1.0,0.428571429,0.0,0.1,0.2,0.0,0.0,0.005000000000000001,0.0,0.0,1
6769,1.0,0.857142857,0.0,0.153846154,0.076923077,0.0,0.5,0.030769230800000005,0.048951048909090904,0.009615384625,1
5999,1.0,0.666666667,0.083333333,0.090909091,0.363636364,0.0,0.0,0.0083333333,0.0,0.0,1
5635,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
9976,1.0,0.6,0.0,0.0,0.222222222,0.0,1.0,0.022222222200000002,0.010101010090909092,0.013888888875,1
657,1.0,0.5,0.0,0.0,0.2,0.0,0.4,0.06,0.07272727272727274,0.05,1
18393,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0
751,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.1,0.045454545454545456,0.0625,1
2081,1.0,0.25,0.0,0.142857143,0.142857143,0.0,0.8,0.0714285714,0.05194805190909091,0.071428571375,1
19553,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.125,1
9405,1.0,0.5,0.0,0.0,0.2,0.0,1.0,0.06,0.0,0.0,1
14415,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.0,0.0,0
18157,1.0,0.666666667,0.0,0.142857143,0.285714286,0.0,0.333333333,0.0142857143,0.038961039,0.017857142875,0
20331,1.0,0.333333333,0.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0
10895,1.0,0.5,0.076923077,0.083333333,0.083333333,0.0,0.888888889,0.12307692310000001,0.020979021,0.009615384625,1
7051,1.0,0.25,0.0,0.0,0.142857143,0.0,1.0,0.0142857143,0.0,0.0,1
3410,1.0,0.75,0.071428571,0.153846154,0.076923077,0.0,0.0,0.0,0.0,0.008928571375,1
7301,1.0,1.0,0.0,0.0,0.0,0.0,0.333333333,0.020000000000000004,0.07272727272727274,0.0,1
4630,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.09090909090909091,0.0,1
10887,1.0,0.333333333,0.0,0.0,0.090909091,0.0,0.666666667,0.0272727273,0.05785123963636364,0.034090909125,1
3652,1.0,0.0,0.0,0.0,0.666666667,0.0,1.0,0.16666666670000002,0.0,0.0,1
12864,1.0,0.25,0.0,0.0,0.428571429,0.0,0.666666667,0.0714285714,0.025974026,0.0,1
4671,1.0,0.4,0.0,0.111111111,0.222222222,0.0,1.0,0.011111111100000001,0.0,0.0,1
19680,1.0,0.666666667,0.0,0.2,0.6,0.0,1.0,0.06,0.0,0.0,0
16331,1.0,0.285714286,0.066666667,0.071428571,0.285714286,0.0,0.5,0.033333333300000004,0.006060606090909091,0.025,1
47,1.0,1.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1
11290,1.0,0.333333333,0.0,0.0,0.444444444,0.0,0.75,0.0777777778,0.020202020181818183,0.0,1
5090,1.0,0.0,0.2,0.0,0.25,0.0,0.0,0.04000000000000001,0.09090909090909091,0.025,1
10924,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,1
20681,1.0,0.5,0.0,0.2,0.0,0.0,0.0,0.020000000000000004,0.05454545454545454,0.025,1
8470,1.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,0
5081,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10460,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.033333333300000004,0.0,0.0,1
15065,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.1,0.0,0.0,1
1944,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.15000000000000002,0.09090909090909091,0.0,1
17591,1.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.1,0.030303030272727273,0.0,1
5934,1.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,1
8423,1.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.03125,1
20799,1.0,1.0,0.0,0.666666667,0.0,0.0,1.0,0.1,0.030303030272727273,0.0,0
5508,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.1,0.09090909090909091,0.0,0
13617,1.0,0.5,0.0,0.222222222,0.111111111,0.0,0.0,0.0,0.0,0.0,0
12741,1.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0,0.06060606063636364,0.0,1
8182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6494,1.0,0.375,0.0,0.047619048,0.095238095,0.0,0.666666667,0.009523809500000001,0.004329004363636363,0.005952381,1
15570,1.0,0.428571429,0.076923077,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,1
11724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18144,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.05,0.0,0.0,0
14714,1.0,0.666666667,0.0,0.222222222,0.0,0.0,1.0,0.022222222200000002,0.0,0.0,0
16559,1.0,0.0,0.0,0.2,0.0,0.0,1.0,0.04000000000000001,0.0,0.0,0
1213,1.0,0.8,0.0,0.25,0.375,0.0,1.0,0.037500000000000006,0.0,0.0,1
7290,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,1
15118,1.0,0.5,0.0,0.333333333,0.333333333,0.0,1.0,0.033333333300000004,0.0,0.0,1
9124,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
16948,1.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1
14221,1.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
8237,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.05,0.09090909090909091,0.0,1
15616,1.0,1.0,0.222222222,0.142857143,0.0,0.0,1.0,0.033333333300000004,0.0,0.0,1
2540,1.0,0.666666667,0.2,0.0,0.75,0.0,0.5,0.06,0.05454545454545454,0.05,1
2912,1.0,0.363636364,0.032258065,0.066666667,0.2,0.0,0.0,0.0,0.0,0.0,1
1038,1.0,0.666666667,0.0,0.111111111,0.444444444,0.0,0.75,0.0666666667,0.010101010090909092,0.02777777775,1
19050,1.0,0.6,0.0,0.0,0.25,0.0,1.0,0.025,0.0,0.0,0
20608,1.0,0.4,0.0,0.058823529,0.117647059,0.0,1.0,0.0235294118,0.0053475935454545456,0.007352941125,0
4724,1.0,0.538461538,0.033333333,0.068965517,0.137931034,0.0,0.25,0.006666666700000001,0.018181818181818184,0.0125,1
729,1.0,0.5,0.090909091,0.1,0.1,0.0,0.5,0.0272727273,0.024793388454545453,0.02272727275,1
14682,1.0,1.0,0.0,0.0,0.25,0.0,1.0,0.1,0.0,0.0,0
18318,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.0,0
15634,1.0,0.4,0.0,0.111111111,0.111111111,0.0,0.8,0.0666666667,0.010101010090909092,0.013888888875,1
19793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.25,0
11006,1.0,0.714285714,0.0,0.0,0.058823529,0.0,1.0,0.1,0.0,0.0,1
16480,1.0,0.2,0.0,0.142857143,0.428571429,0.0,1.0,0.0714285714,0.0,0.0,0
542,1.0,0.25,0.0,0.285714286,0.142857143,0.0,0.0,0.0142857143,0.012987013,0.0,1
146,1.0,0.375,0.115384615,0.086956522,0.086956522,0.0,0.5,0.0269230769,0.017482517454545456,0.01923076925,1
7567,1.0,0.444444444,0.0,0.045454545,0.181818182,0.0,0.666666667,0.0272727273,0.016528925636363635,0.005681818125,1
12134,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07500000000000001,0.0,0.0,1
8355,1.0,0.4,0.0,0.142857143,0.142857143,0.0,0.0,0.0142857143,0.038961039,0.017857142875,1
241,1.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0125,0.0,0.0,1
16096,1.0,0.5,0.0,0.0,0.0,0.0,0.75,0.12,0.018181818181818184,0.05,1
3595,1.0,0.166666667,0.0,0.222222222,0.222222222,0.0,0.75,0.044444444400000005,0.010101010090909092,0.0,1
8694,1.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.018181818181818184,0.0,1
7228,1.0,0.6,0.0,0.0625,0.25,0.0,0.0,0.0,0.0,0.0,1
9639,1.0,1.0,0.0,0.2,0.0,0.0,1.0,0.04000000000000001,0.018181818181818184,0.0,1
16794,1.0,0.5,0.0,0.333333333,0.0,0.0,0.666666667,0.2,0.06060606063636364,0.0,0
1952,1.0,0.5,0.0,0.111111111,0.277777778,0.0,0.666666667,0.0277777778,0.015151515181818181,0.0,1
6798,1.0,0.666666667,0.0,0.111111111,0.111111111,0.0,0.0,0.011111111100000001,0.030303030272727273,0.013888888875,1
1594,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.05,0.0,0.0,1
9480,1.0,0.5,0.0,0.125,0.25,0.0,1.0,0.07500000000000001,0.0,0.0,1
9402,1.0,0.666666667,0.0,0.166666667,0.0,0.0,0.0,0.0,0.015151515181818181,0.020833333375,1
19496,1.0,0.75,0.0,0.333333333,0.333333333,0.0,0.0,0.011111111100000001,0.030303030272727273,0.013888888875,1
10428,1.0,0.5,0.142857143,0.0,0.166666667,0.0,1.0,0.0285714286,0.0,0.0,1
4119,1.0,0.666666667,0.375,0.2,0.2,0.0,0.25,0.025,0.045454545454545456,0.0625,1
2680,1.0,0.5,0.0,0.25,0.25,0.0,0.333333333,0.025,0.045454545454545456,0.0,1
844,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.025,0.045454545454545456,0.0,1
8426,1.0,0.5,0.133333333,0.076923077,0.230769231,0.0,1.0,0.020000000000000004,0.0,0.0,0
19106,1.0,0.5,0.285714286,0.0,0.0,0.0,0.0,0.0285714286,0.012987013,0.0,0
10529,1.0,0.666666667,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,1
1783,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.0,1
16812,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,1.0,0.5,0.0,0.2,0.2,0.0,0.0,0.020000000000000004,0.018181818181818184,0.0,1
19299,1.0,0.666666667,0.0,0.285714286,0.285714286,0.0,0.0,0.0,0.012987013,0.0,1
15045,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.06,0.018181818181818184,0.025,0
20572,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.1,0.045454545454545456,0.0,1
8763,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.05,0.0,0.0,1
9366,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.045454545454545456,0.0625,1
2144,1.0,0.8,0.0,0.071428571,0.214285714,0.0,0.4,0.0142857143,0.019480519454545455,0.053571428625,1
3665,1.0,0.571428571,0.0,0.142857143,0.285714286,0.0,0.666666667,0.0285714286,0.006493506454545455,0.0,1
7110,1.0,1.0,0.0,0.333333333,0.0,0.0,0.833333333,0.33333333330000003,0.030303030272727273,0.083333333375,1
8552,1.0,0.333333333,0.0,0.0,0.142857143,0.0,1.0,0.0285714286,0.0,0.0,1
9685,1.0,0.0,0.333333333,0.0,0.0,0.0,1.0,0.0666666667,0.0,0.0,1
14867,1.0,1.0,0.0,0.333333333,0.333333333,0.0,1.0,0.033333333300000004,0.0,0.0,0
2271,1.0,0.5,0.0,0.166666667,0.0,0.0,0.8,0.15000000000000002,0.030303030272727273,0.020833333375,1
19445,1.0,0.0,0.0,0.333333333,0.0,0.0,0.75,0.1,0.030303030272727273,0.041666666625,1
6670,1.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.022727272727272728,0.0,1
4373,1.0,1.0,0.333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
9711,1.0,0.25,0.0,0.0,0.142857143,0.0,0.0,0.0142857143,0.0,0.0,1
11793,1.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0.0166666667,0.030303030272727273,0.041666666625,1
18552,1.0,0.5,0.333333333,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0
19616,1.0,0.0,0.0,0.0,0.5,0.0,0.333333333,0.05,0.09090909090909091,0.0,1
13093,1.0,0.333333333,0.2,0.25,0.0,0.0,1.0,0.12,0.0,0.1,0
17363,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.025,0.0,0.0,0
16116,1.0,0.692307692,0.130434783,0.075,0.125,0.0,0.8,0.013043478300000001,0.005928853727272728,0.005434782625,1
19353,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1
14499,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.30000000000000004,0.0,0.25,0
8121,1.0,1.0,0.0,0.666666667,0.0,0.0,0.0,0.0,0.030303030272727273,0.0,1
10037,1.0,0.5,0.0,0.0,0.083333333,0.0,1.0,0.025,0.0,0.0,1
4201,1.0,0.75,0.0,0.153846154,0.076923077,0.0,0.0,0.0,0.013986014000000001,0.009615384625,1
17196,1.0,1.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0
3449,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.30000000000000004,0.09090909090909091,0.125,1
7443,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.16000000000000003,0.018181818181818184,0.0,1
10594,1.0,0.833333333,0.0,0.0,0.142857143,0.0,1.0,0.042857142900000006,0.012987013,0.0,1
18361,1.0,1.0,0.0,0.333333333,0.0,0.0,1.0,0.0833333333,0.015151515181818181,0.0,0
17256,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.033333333300000004,0.0,0.0,0
5478,1.0,0.5,0.0,0.090909091,0.0,0.0,1.0,0.0363636364,0.008264462818181818,0.011363636375,0
10508,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1333333333,0.0,0.0,1
413,1.0,0.5,0.142857143,0.166666667,0.0,0.0,0.333333333,0.0142857143,0.038961039,0.0,1
1175,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.25,1
14002,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0
7469,1.0,0.25,0.0,0.0,0.285714286,0.0,0.75,0.11428571430000001,0.038961039,0.0,1
14205,1.0,1.0,0.166666667,0.4,0.4,0.0,1.0,0.0166666667,0.0,0.0,0
18336,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,0.36363636363636365,0.25,0
5865,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.033333333300000004,0.0,0.0,1
11644,1.0,0.5,0.0,0.0,0.333333333,0.0,0.0,0.033333333300000004,0.0,0.0,1
14999,1.0,1.0,0.0,0.0,0.0,0.0,0.333333333,0.0666666667,0.06060606063636364,0.041666666625,0
6425,1.0,0.5,0.166666667,0.2,0.2,0.0,0.5,0.033333333300000004,0.015151515181818181,0.0,1
15556,1.0,0.0,0.0,0.25,0.25,0.0,0.666666667,0.05,0.022727272727272728,0.0,1
15113,1.0,0.666666667,0.0,0.125,0.0,0.0,1.0,0.0125,0.03409090909090909,0.0,1
17566,1.0,0.5,0.0,0.25,0.125,0.0,0.5,0.037500000000000006,0.045454545454545456,0.0,1
20090,1.0,0.0,0.2,0.0,0.25,0.0,0.0,0.0,0.018181818181818184,0.0,0
9234,1.0,0.75,0.0,0.2,0.2,0.0,1.0,0.020000000000000004,0.018181818181818184,0.025,1
18367,1.0,1.0,0.25,0.333333333,0.0,0.0,1.0,0.05,0.0,0.0,0
12301,1.0,0.666666667,0.071428571,0.076923077,0.153846154,0.0,0.0,0.0214285714,0.03246753245454545,0.03571428575,1
6874,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018181818181818184,0.0,1
12952,1.0,0.0,0.0,0.166666667,0.0,0.0,1.0,0.05,0.0,0.0,0
